@relation '212695L1 2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'rodzaj ?r�d?a dochodu' numeric
@attribute 'miesieczny dochod netto' string
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' string
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim b?dzie pobiera? doch�d' numeric
@attribute 'op�?nienie sp?aty' numeric

@data
16,685,1,200,52,K,43,48,0
98,5000,1,600,41,K,86,48,0
13,'1134,96',2,200,68,K,163,48,0
13,'1239,98',3,300,78,K,257,48,0
11,1400,0,200,43,K,27,48,0
13,'864,34',0,500,47,M,158,48,0
13,1503,0,350,61,M,167,48,0
11,3000,6,300,60,M,214,48,0
11,1800,2,400,51,M,261,48,0
12,3500,0,600,45,M,188,48,0
13,910,6,200,66,K,71,48,0
13,'722,05',5,200,71,K,199,48,0
13,1870,1,400,72,M,87,48,0
11,'2245,01',0,500,44,K,147,48,0
13,2282,2,300,61,K,27,48,0
16,1770,6,500,58,M,91,48,0
13,1684,5,'367,31',61,K,22,48,0
12,'830,46',4,700,47,K,47,48,0
11,'2094,17',2,200,53,M,243,48,0
13,1050,6,600,61,K,141,48,0
11,980,1,400,48,K,202,48,0
13,12220,4,200,57,M,73,48,0
11,'1721,7',6,'345,97',54,K,122,48,0
11,1700,5,250,51,K,307,48,0
16,1600,2,200,63,K,25,48,0
13,785,2,200,72,K,66,48,0
13,820,0,500,62,K,33,48,0
13,'1442,43',1,300,79,K,143,48,0
13,1611,0,200,65,M,143,48,0
13,1280,6,290,61,K,19,48,0
11,2100,1,300,45,M,52,48,0
13,850,5,400,66,K,69,48,0
13,3900,1,400,59,M,116,48,0
17,1200,6,200,25,K,167,48,0
11,2700,1,490,30,M,66,48,0
13,3600,0,700,57,M,88,48,0
12,1100,2,200,26,K,17,18,0
12,1400,0,200,27,M,3,3,0
13,1500,0,500,47,M,88,48,0
13,'1883,53',0,500,58,K,49,48,0
12,'1952,35',1,500,44,M,6,12,0
99,'1393,85',4,200,29,M,6,7,1951
11,'2709,34',6,'314,83',35,K,183,48,0
11,1800,1,600,39,K,53,48,0
11,3898,1,500,36,M,183,48,0
13,965,5,200,75,K,247,48,0
11,'1577,42',0,'438,67',50,K,207,48,0
13,1800,0,400,60,K,71,48,0
11,3000,0,500,45,K,95,48,0
12,'990,34',0,200,46,K,58,48,0
11,'932,34',6,200,51,K,397,48,0
11,'1566,82',0,300,46,M,351,48,0
11,'1493,98',5,200,47,K,363,48,0
12,1521,2,200,30,M,22,31,0
13,'1672,59',0,200,62,M,24,48,0
11,1300,0,300,53,M,454,48,0
98,1256,0,500,35,M,71,48,0
11,'1730,13',4,400,56,K,195,48,0
13,1900,6,500,56,M,152,48,0
11,'3178,76',1,700,37,K,123,48,0
11,3100,1,700,32,K,123,48,0
11,1700,5,600,47,K,91,48,0
13,1014,0,300,63,K,185,48,0
13,860,0,780,63,K,82,48,0
98,3000,2,'389,72',52,K,87,48,0
12,1447,6,500,29,K,23,24,0
17,728,6,200,27,M,102,48,0
13,'1801,41',1,'515,96',58,K,39,48,0
13,810,6,300,60,K,35,48,0
11,2500,0,600,49,M,376,48,0
13,5100,1,800,61,K,30,48,0
11,1800,6,500,49,K,55,48,0
11,'800,51',0,400,38,K,22,48,0
13,1900,2,400,75,K,123,48,0
16,588,2,'428,68',55,M,424,48,0
13,'1601,87',2,'349,66',64,M,47,48,0
13,'1162,41',0,400,68,M,106,48,0
12,'1963,88',5,400,44,M,8,9,0
13,819,0,200,57,M,59,48,0
98,3178,0,'316,68',43,M,203,48,0
99,780,2,200,57,K,3,4,0
99,1100,3,200,53,K,53,48,0
13,'634,64',0,200,71,K,252,48,0
13,1400,1,700,59,K,248,48,0
12,1400,0,300,25,M,14,33,0
13,1087,0,300,60,K,73,48,0
13,1507,0,400,64,K,61,48,0
13,'992,96',2,200,61,K,14,48,0
11,'1077,49',0,300,48,K,374,48,0
13,984,1,200,61,K,13,48,0
11,'992,84',6,300,49,K,123,48,0
11,1058,1,400,35,M,16,48,0
13,1668,6,'393,48',63,K,93,48,0
11,1000,6,300,30,M,59,48,0
11,2100,5,500,60,M,189,48,0
11,1459,3,300,26,M,11,48,0
13,865,6,200,70,K,130,48,0
12,1000,1,200,54,K,47,48,0
11,1400,0,300,49,M,16,48,0
13,1026,5,200,60,K,57,48,0
13,1872,6,700,58,K,37,48,0
98,911,6,300,46,K,100,48,0
13,714,0,300,62,K,224,48,0
16,'634,64',5,240,57,K,138,48,0
12,'1038,68',2,300,46,K,23,27,0
13,1530,0,500,64,M,37,48,0
13,2547,0,600,80,M,197,48,0
12,1500,5,300,22,K,6,6,0
11,2400,5,500,35,K,115,48,0
16,2100,1,'249,3',57,K,41,48,0
13,1536,1,300,74,K,38,48,0
99,'2290,55',3,200,42,K,20,21,0
11,'2180,09',0,500,31,M,52,48,0
13,1431,0,500,67,K,249,48,0
13,'1167,94',1,300,79,K,371,48,0
11,'2065,98',0,327,52,K,181,48,0
11,1400,2,'299,23',52,K,163,48,0
16,1045,5,200,50,M,201,48,0
16,1401,0,500,69,K,77,48,0
11,1300,0,400,39,M,47,48,0
99,1500,0,200,21,M,5,6,0
13,1100,3,300,63,K,107,48,0
15,'1100,79',1,300,62,M,92,48,0
13,1426,6,300,71,M,79,48,0
11,1360,2,300,46,M,122,48,0
17,990,2,500,50,K,74,48,0
11,2080,0,500,53,M,320,48,0
13,'1525,46',1,'244,61',62,K,38,48,0
13,3700,6,'558,03',62,K,29,48,0
98,980,5,200,56,K,12,48,0
12,1100,1,200,26,M,35,48,0
12,'984,34',5,200,53,K,20,21,0
11,1625,0,300,21,M,25,48,0
11,2100,3,'281,61',54,M,40,48,0
11,'2327,94',2,500,24,M,37,48,0
16,'1473,04',3,400,65,M,167,48,0
13,'802,83',0,300,65,K,203,48,0
16,'749,28',6,200,53,K,67,48,0
12,1500,0,250,21,M,8,9,0
12,980,6,200,31,K,12,16,0
11,2505,0,200,40,K,166,48,0
13,1500,2,400,60,K,62,48,0
13,2120,1,800,68,K,121,48,0
11,1870,0,500,41,K,112,48,0
13,1233,5,200,63,K,126,48,0
11,1250,1,'477,41',61,M,67,48,0
16,1235,1,'299,28',70,K,36,48,0
13,'1642,87',0,200,70,M,72,48,0
16,634,5,200,58,K,53,48,0
13,1310,2,500,61,K,81,48,0
13,1150,0,500,75,M,141,48,0
12,1032,6,'281,84',46,K,41,41,0
13,'1287,66',5,200,63,M,99,48,0
13,1019,0,450,68,K,135,48,0
13,'803,86',6,200,68,K,160,48,0
13,'1691,3',2,530,62,K,76,48,0
11,1000,1,200,41,K,64,48,0
16,2300,7,500,55,K,65,48,0
12,1000,6,400,50,K,35,35,0
12,1000,6,400,60,M,15,15,0
11,2100,1,600,27,K,25,48,0
11,1400,6,200,54,K,119,48,0
16,2150,0,500,50,M,84,48,0
13,3040,2,'618,26',65,M,203,48,0
13,815,1,500,67,K,147,48,0
13,1300,3,300,77,K,196,48,0
11,2800,1,300,55,K,12,48,0
11,900,6,300,46,K,96,48,0
98,1200,6,'278,98',38,K,48,48,0
13,1107,0,400,60,K,17,48,0
13,1162,6,200,62,M,224,48,0
13,1900,0,500,62,K,91,48,0
13,1420,0,300,70,M,55,48,0
13,1658,6,'272,78',59,K,32,48,0
13,2066,6,700,61,K,132,48,0
16,1500,1,300,54,K,4,48,0
13,1500,6,512,61,M,26,48,0
13,1635,6,200,60,K,122,48,0
13,3440,6,800,55,K,54,48,0
11,2200,2,'774,28',33,K,40,48,0
11,2800,6,300,54,K,62,48,0
16,1411,3,400,60,K,69,48,0
11,'1239,05',3,'399,66',39,K,207,48,0
11,1850,1,'438,12',35,M,58,48,0
13,1573,1,300,67,M,91,48,1937
16,2300,0,300,55,K,65,48,0
11,3200,6,600,51,K,56,48,0
13,1650,0,450,59,K,118,48,0
13,'1772,53',3,'282,57',71,M,283,48,0
13,1000,3,300,70,K,67,48,0
11,'2284,23',1,200,43,M,302,48,0
13,714,7,'299,72',62,K,225,48,0
11,1500,5,400,58,K,88,48,0
11,'1344,9',5,200,45,K,48,48,0
11,2500,2,500,49,K,236,48,0
12,1865,3,200,31,K,22,23,0
13,562,2,300,71,M,84,48,0
13,1170,5,'324,56',61,K,81,48,0
16,837,5,350,61,M,234,48,0
13,'1013,74',6,460,65,K,116,48,0
13,1212,6,500,60,K,56,48,0
98,2000,0,200,31,M,17,48,0
16,'684,64',0,200,60,K,344,48,0
11,'1738,57',1,300,43,K,60,48,0
13,1519,0,600,78,M,256,48,1935
13,936,4,'292,28',60,K,34,48,0
11,'2368,57',0,'399,72',54,K,413,48,0
13,670,2,200,65,K,69,48,1933
16,892,0,600,65,K,203,48,0
16,980,0,700,68,K,133,48,0
13,1027,2,300,68,K,195,48,0
13,640,0,600,72,K,141,48,0
16,'2084,79',0,400,62,K,144,48,0
13,960,6,'315,12',73,M,142,48,0
13,930,3,'667,77',63,K,96,48,0
16,1389,1,'299,28',63,K,94,48,0
13,840,4,400,64,K,116,48,0
13,1189,6,'265,58',62,K,72,48,0
13,'720,19',4,200,67,K,96,48,0
13,917,0,400,63,K,79,48,0
13,3251,0,500,63,K,141,48,0
12,1896,0,300,40,K,16,17,0
17,684,6,900,58,K,192,48,0
11,3200,6,'575,64',52,M,192,48,0
11,2000,1,400,59,M,72,48,0
13,975,6,200,61,K,30,48,0
11,'1460,17',3,200,55,M,64,48,0
13,'729,03',7,400,70,K,260,48,0
11,1320,6,500,53,M,345,48,0
12,1100,6,'235,97',65,M,25,36,0
13,997,6,200,61,K,82,48,0
11,1800,0,400,41,M,108,48,0
11,1600,0,'282,28',48,M,345,48,0
12,1027,6,300,39,K,11,48,0
12,600,7,500,47,M,12,28,0
12,'599,03',5,200,37,K,22,22,0
16,'1045,6',7,'289,72',54,K,15,48,0
13,'1137,19',6,400,66,K,99,48,0
11,2470,3,430,38,M,69,48,0
13,2110,0,300,66,M,104,48,0
17,'864,6',0,300,54,K,5,8,0
13,1213,1,400,53,K,52,48,0
11,'983,97',0,200,57,K,81,48,1931
12,1675,6,550,54,K,12,12,0
13,2609,0,500,77,M,194,48,0
13,1425,0,400,60,K,82,48,0
98,4000,6,'465,37',35,K,21,48,0
11,2050,1,530,32,M,120,48,0
11,1800,6,300,33,M,168,48,0
12,1000,0,400,54,K,48,48,0
13,'1244,77',0,'292,28',58,K,42,48,0
12,1350,0,600,55,K,25,25,0
11,2000,0,200,31,M,8,48,0
13,1559,1,'248,57',65,M,74,48,0
13,2534,0,600,72,K,130,48,0
13,730,5,200,72,K,563,48,0
11,2011,0,500,52,M,214,48,0
11,1900,2,'693,7',38,K,210,48,0
11,'980,11',3,400,34,K,47,48,0
12,1210,0,300,52,M,10,10,1929
12,1050,5,'282,68',52,K,36,36,0
99,598,0,200,52,K,5,7,0
11,1400,0,300,43,K,28,48,0
13,1800,1,470,69,K,120,48,0
12,1650,0,400,57,M,4,27,1929
13,3900,7,300,49,M,33,48,0
11,2400,0,500,50,M,255,48,0
11,4000,7,400,53,M,13,48,0
13,1412,0,300,73,K,207,48,0
11,'1172,2',6,200,56,K,40,48,0
13,'1295,37',2,300,71,M,310,48,0
12,1200,6,300,35,K,11,15,0
13,1700,1,200,72,M,17,48,0
13,1700,6,500,72,M,17,48,0
13,1362,6,'437,15',61,K,59,48,0
13,962,2,'537,15',62,K,68,48,0
13,1350,5,'242,28',65,K,114,48,0
13,'729,03',0,300,70,K,260,48,0
13,'864,34',1,500,47,M,159,48,0
16,'959,6',6,200,69,K,118,48,0
12,'1574,45',0,'401,3',47,M,34,36,0
11,2800,6,600,49,K,321,48,0
11,'1842,86',5,400,56,M,10,48,0
12,1500,3,'879,43',35,M,36,36,0
11,'1261,98',6,'326,78',40,M,39,48,0
98,1357,0,700,48,K,4,48,1928
17,985,7,200,20,M,16,18,0
13,611,5,300,57,K,142,48,0
13,1248,0,500,75,K,253,48,0
13,1000,6,500,60,K,71,48,0
12,1000,4,300,50,M,46,48,0
11,3000,7,'202,28',60,M,215,48,0
13,'1239,98',4,'292,28',78,K,258,48,0
11,1300,0,400,54,M,37,48,0
11,2700,6,'423,23',31,M,18,48,0
11,1443,1,600,43,K,36,48,0
12,1700,7,400,54,K,57,48,0
11,1800,0,200,57,M,163,48,0
11,'1888,27',1,'204,78',29,M,80,48,0
13,616,6,200,75,K,249,48,0
12,3500,1,600,45,M,189,48,0
13,1050,7,600,61,K,142,48,0
13,'722,05',6,200,71,K,200,48,0
12,2500,5,800,57,M,7,11,0
11,1290,6,600,32,K,22,48,0
11,2927,5,'360,31',38,K,204,48,0
13,'1428,55',0,300,66,K,140,48,0
11,1590,1,300,29,M,56,48,0
12,'830,46',5,700,47,K,48,48,0
13,2000,1,'563,44',68,M,47,48,0
13,'1442,43',2,300,79,K,144,48,0
13,785,3,200,72,K,67,48,0
12,1400,1,200,27,M,3,4,0
16,1770,7,500,58,M,92,48,0
13,1870,2,400,72,M,88,48,0
12,1320,0,400,59,K,12,35,0
11,1228,0,300,36,K,37,48,0
13,1200,6,500,70,K,122,48,0
13,1200,0,200,70,K,122,48,0
11,1800,3,400,51,M,262,48,0
12,1100,3,200,26,K,18,18,0
11,2300,0,300,26,K,25,48,0
11,1300,0,300,53,M,455,48,0
13,'1090,14',6,'290,88',61,K,78,48,0
13,1977,4,830,61,K,57,48,1923
13,1500,1,500,47,M,89,48,0
13,1000,0,300,75,K,214,48,0
11,1300,1,600,54,K,71,48,0
13,1014,1,300,63,K,186,48,0
12,'1032,34',6,200,31,K,7,12,1922
13,820,1,'437,15',62,K,34,48,0
99,1500,0,400,21,M,6,7,0
11,1700,0,600,53,K,208,48,0
99,1400,0,200,46,M,19,20,0
11,'1721,7',7,'345,97',54,K,123,48,0
11,1764,0,400,49,K,67,48,0
11,'2709,34',7,'314,15',35,K,184,48,0
13,'992,96',3,200,61,K,15,48,0
11,'1348,95',1,350,73,K,117,48,0
11,3300,0,400,44,M,239,48,0
16,685,0,300,52,K,44,48,0
13,810,7,300,60,K,36,48,0
12,1382,0,300,37,K,24,24,0
11,1680,6,300,57,K,388,48,0
13,1500,0,350,58,K,49,48,0
13,1240,3,500,58,K,73,48,0
11,1600,0,300,25,K,55,48,0
12,'952,89',2,300,21,M,25,27,0
13,1280,7,290,61,K,20,48,0
13,1400,0,300,65,K,121,48,0
13,1611,1,200,65,M,144,48,0
11,'1077,49',1,'297,28',48,K,374,48,0
13,3900,0,450,59,M,117,48,0
13,1800,1,400,60,K,72,48,0
12,1500,1,250,21,M,9,12,0
13,5100,2,800,61,K,31,48,0
98,5000,2,600,41,K,87,48,0
13,1300,0,500,59,K,33,48,0
11,3000,1,500,45,K,96,48,0
13,1300,0,400,58,K,37,48,0
11,1700,6,500,51,K,308,48,0
13,850,6,400,66,K,70,48,0
11,1400,1,'392,82',51,M,42,48,0
13,984,2,200,61,K,14,48,0
13,965,6,200,75,K,248,48,0
11,2100,2,300,45,M,53,48,0
13,1900,3,400,75,K,124,48,0
98,3000,3,'389,72',52,K,88,48,0
11,'2094,17',3,200,53,M,244,48,0
11,'2245,01',1,'478,6',44,K,148,48,0
11,1186,0,400,35,M,13,48,0
13,'744,07',0,200,61,K,15,48,0
13,'1162,41',1,'339,72',68,M,107,48,0
16,1132,3,300,64,K,100,48,1916
13,1400,2,830,59,K,249,48,0
13,1900,7,500,56,M,153,48,0
17,728,7,200,27,M,103,48,0
13,1668,7,'330,1',63,K,94,48,0
11,1058,2,'389,72',35,M,17,48,0
11,2100,6,500,60,M,190,48,0
13,1553,0,500,56,M,112,48,0
13,12220,5,200,57,M,74,48,0
11,2500,1,500,49,M,377,48,0
99,1100,4,200,53,K,54,48,0
11,1800,7,500,49,K,56,48,0
98,1200,0,400,23,M,19,48,0
13,'1801,41',2,'515,96',58,K,40,48,0
13,865,7,200,70,K,131,48,0
11,3100,2,700,32,K,124,48,0
11,'3178,76',2,700,37,K,124,48,0
13,1400,0,400,59,K,49,48,0
12,3400,0,300,30,M,20,38,0
13,'1291,18',7,'378,91',70,K,82,48,0
13,2000,0,300,62,M,37,48,0
11,3898,2,500,36,M,184,48,0
13,2547,1,600,80,M,198,48,0
12,1500,6,300,22,K,7,18,0
11,1400,3,'299,23',52,K,164,48,0
12,1600,0,500,55,K,13,17,0
12,1447,7,500,29,K,24,36,0
13,'1601,87',3,'349,66',64,M,48,48,0
16,1740,0,300,53,K,117,48,0
12,1521,3,206,30,M,23,31,0
11,'992,84',7,300,49,K,124,48,0
13,'1167,94',2,300,79,K,372,48,0
11,1400,7,200,54,K,120,48,0
11,1360,3,300,46,M,123,48,0
13,1872,7,700,58,K,38,48,0
13,951,6,'527,15',73,K,165,48,0
13,860,1,'773,72',63,K,83,48,0
13,1536,2,300,74,K,39,48,0
16,'749,28',7,200,53,K,68,48,0
16,1401,1,'387,15',69,K,78,48,0
16,'1473,04',4,400,65,M,168,48,0
98,980,6,200,56,K,13,48,0
12,'1038,68',3,300,46,K,24,27,0
13,1426,7,300,71,M,80,48,0
13,1087,1,'342,86',60,K,74,48,0
99,780,3,200,57,K,4,5,0
16,588,0,750,55,M,425,48,0
13,1374,0,300,61,K,49,48,0
16,2100,2,'249,3',57,K,42,48,0
17,990,3,500,50,K,75,48,0
11,2080,1,500,53,M,321,48,0
98,911,7,300,46,K,101,48,0
13,3700,7,'472,7',62,K,30,48,0
12,'984,34',6,200,53,K,21,21,1912
12,1000,7,400,60,M,15,27,0
12,1000,7,400,50,K,35,35,0
13,1100,4,300,63,K,108,48,0
16,1589,0,400,58,K,30,48,0
13,'802,83',1,300,65,K,204,48,0
13,1233,0,600,64,K,127,48,0
13,1180,0,300,75,M,143,48,0
13,'1642,87',1,200,71,M,73,48,0
11,2505,1,200,41,K,167,48,0
16,634,6,200,59,K,54,48,0
16,1045,6,'215,24',51,M,203,48,0
13,1500,3,400,61,K,64,48,0
16,2300,8,'397,15',56,K,66,48,0
16,2300,1,200,56,K,66,48,0
16,2150,1,'497,15',51,M,85,48,0
11,2200,3,'741,52',34,K,41,48,0
12,980,7,200,32,K,14,16,0
11,2400,6,600,36,K,116,48,0
13,1900,1,500,63,K,92,48,0
13,714,0,300,63,K,226,48,0
16,'634,64',6,'254,98',58,K,140,48,0
11,2800,2,300,56,K,13,48,0
11,'1187,06',0,300,57,K,137,48,0
98,3014,0,500,43,M,106,48,0
13,'803,86',7,200,69,K,161,48,0
13,1162,7,200,63,M,224,48,0
13,1658,7,'252,16',60,K,33,48,0
13,3040,0,800,66,M,204,48,0
13,1107,1,400,61,K,18,48,0
13,3440,7,800,56,K,55,48,0
12,'990,34',0,200,47,K,59,48,0
13,1507,1,'391,97',65,K,63,48,0
13,1635,7,200,61,K,123,48,0
12,'1963,88',6,'392,43',45,M,10,21,0
12,1637,0,250,31,M,56,48,0
11,2100,4,'276,26',55,M,41,48,0
13,2120,2,800,69,K,122,48,0
16,1500,2,300,55,K,5,48,0
11,'1738,57',0,500,44,K,61,48,0
13,1650,1,250,60,K,119,48,0
13,714,8,'299,72',63,K,226,48,0
11,'1577,42',0,'438,67',51,K,209,48,0
12,'1952,35',0,500,45,M,8,12,0
11,2000,0,200,45,M,204,48,0
16,'2084,79',1,400,63,K,145,48,0
11,2100,0,500,28,K,26,48,0
13,'1691,3',3,530,63,K,77,48,0
13,1017,0,400,69,K,165,48,0
11,1800,0,600,40,K,55,48,0
98,1200,7,'278,98',39,K,49,48,0
13,'729,03',8,350,71,K,261,48,0
13,1027,3,300,69,K,196,48,0
13,1000,4,300,71,K,68,48,0
11,1660,0,300,64,M,54,48,0
11,1459,4,300,27,M,13,48,0
13,3251,1,500,64,K,142,48,0
13,930,4,'664,48',64,K,97,48,0
13,'1013,74',7,460,66,K,117,48,0
13,'720,19',5,200,68,K,97,48,0
13,1212,7,500,61,K,57,48,0
12,1865,4,200,32,K,24,35,0
13,1016,0,400,71,K,193,48,0
11,1500,6,400,59,K,89,48,0
13,640,1,600,73,K,142,48,0
16,892,1,'584,58',66,K,204,48,0
13,1684,6,'367,31',62,K,23,48,1903
16,1411,4,400,61,K,70,48,0
11,'1730,13',0,400,57,K,197,48,0
17,684,7,900,59,K,193,48,0
13,997,7,200,62,K,83,48,0
13,975,7,200,62,K,31,48,0
13,960,7,'315,12',74,M,143,48,0
11,1800,7,200,34,M,169,48,0
11,'1286,16',0,300,43,K,121,48,0
16,1389,2,'299,23',64,K,95,48,0
11,1870,0,500,42,K,114,48,0
13,2066,7,700,62,K,133,48,0
13,1189,7,'265,58',63,K,73,48,0
13,562,3,300,72,M,85,48,0
16,'1045,6',8,'237,13',55,K,16,48,0
11,'1460,17',4,200,56,M,65,48,0
12,1032,7,'281,84',47,K,42,48,0
12,1896,1,300,41,K,17,17,0
12,1027,7,300,40,K,12,48,0
11,'2284,23',2,200,44,M,303,48,0
11,'2065,98',0,'325,58',53,K,183,48,0
11,1400,0,'286,26',50,M,18,48,0
12,600,8,'497,15',48,M,13,28,0
17,'864,6',1,300,55,K,6,8,0
13,1431,0,700,68,K,250,48,0
13,2534,1,'684,58',73,K,130,48,0
16,837,0,500,62,M,235,48,0
13,1420,1,300,71,M,56,48,0
11,'2180,09',0,500,32,M,54,48,0
11,1320,7,500,54,M,346,48,0
11,900,7,300,47,K,97,48,0
13,840,5,'330,11',65,K,117,48,0
12,1200,7,300,36,K,12,15,0
11,1186,0,500,36,M,14,48,0
11,2000,1,200,32,M,9,48,0
13,'1287,66',6,200,64,M,100,48,0
99,1400,0,400,47,M,20,20,0
12,1350,1,600,56,K,26,26,0
11,1250,0,'476,83',62,M,69,48,0
11,1850,2,'388,49',36,M,59,48,1900
12,1500,0,200,43,M,38,48,0
16,'959,6',7,200,70,K,119,48,0
11,'980,11',4,400,35,K,48,48,0
12,1000,1,'389,72',55,K,49,48,0
12,1675,7,550,55,K,13,13,0
11,1600,1,'282,28',49,M,346,48,0
13,1019,0,450,69,K,136,48,0
11,2400,1,500,51,M,256,48,1900
11,1000,0,200,42,K,65,48,0
13,730,6,200,73,K,564,48,0
13,1559,2,'246,46',66,M,75,48,0
11,1400,1,300,44,K,29,48,0
13,'1239,98',5,'230,9',79,K,259,48,0
13,820,2,'437,15',63,K,35,48,0
13,3900,8,300,50,M,34,48,0
11,1050,6,'276,75',53,K,37,48,0
13,2612,0,600,73,M,85,48,0
13,1350,6,'207,19',66,K,115,48,0
13,1412,1,300,74,K,208,48,0
98,4000,7,'441,54',36,K,22,48,0
13,611,6,'247,28',58,K,143,48,0
13,'729,03',1,300,71,K,261,48,0
11,'1344,9',6,200,46,K,50,48,1898
11,3000,8,'202,28',61,M,216,48,0
13,1248,1,500,76,K,254,48,0
13,1000,7,500,61,K,72,48,0
13,917,1,400,64,K,80,48,0
13,'864,34',2,500,48,M,160,48,0
16,980,1,700,69,K,134,48,0
12,1000,5,300,51,M,47,48,0
15,'1100,79',0,300,63,M,94,48,0
12,700,0,200,22,K,4,6,0
11,2470,4,430,39,M,70,48,0
13,2110,1,300,67,M,105,48,0
11,'1172,2',7,200,57,K,41,48,0
12,1700,8,350,55,K,58,48,0
11,1800,1,200,58,M,164,48,0
11,2050,2,'523,43',33,M,122,48,0
11,3200,7,'624,85',52,K,57,48,0
13,962,3,'537,15',63,K,69,48,0
13,1362,7,'437,15',62,K,60,48,0
11,1443,2,600,44,K,37,48,0
17,985,8,200,21,M,17,18,0
12,1100,7,'235,97',66,M,26,36,0
13,616,7,200,76,K,250,48,0
11,1800,0,300,57,K,115,48,0
11,'1842,86',6,400,57,M,11,48,0
11,1900,3,'693,7',39,K,211,48,0
98,2500,0,700,57,M,229,48,0
11,4000,8,400,54,M,14,48,0
11,2000,2,300,60,M,73,48,0
12,'599,03',0,200,38,K,23,23,0
11,'1239,05',0,'399,22',40,K,208,48,0
12,3500,2,600,46,M,190,48,0
13,1050,8,600,62,K,143,48,0
11,1800,4,400,52,M,263,48,0
12,1100,0,200,27,M,37,48,0
11,2300,0,300,27,K,26,48,0
11,1500,0,400,55,K,114,48,0
13,785,4,200,73,K,68,48,0
11,'2368,57',0,'396,55',55,K,414,48,0
12,1400,2,200,28,M,4,6,0
13,810,8,300,61,K,37,48,0
12,1382,1,300,38,K,25,36,0
11,2011,1,500,53,M,215,48,0
12,'830,46',6,700,48,K,49,48,0
13,1000,1,300,76,K,215,48,0
16,1770,8,500,59,M,93,48,0
13,1500,0,505,62,M,27,48,0
12,2200,0,500,55,K,7,12,0
13,'1474,55',0,550,63,K,69,48,0
11,1600,0,300,26,M,7,48,0
12,2500,6,800,58,M,8,11,0
13,'1428,55',1,'292,28',67,K,141,48,0
13,'722,05',7,200,72,K,201,48,0
11,2800,0,700,60,M,100,48,0
11,1300,1,400,55,M,38,48,1891
13,1280,8,290,62,K,21,48,0
11,2927,6,'351,55',39,K,205,48,0
11,'2709,34',8,'313,15',36,K,185,48,0
13,'992,96',4,200,62,K,16,48,0
11,1764,1,400,50,K,68,48,0
11,'1721,7',8,'345,97',55,K,124,48,0
12,1320,1,'390,11',60,K,13,35,0
13,1239,0,300,78,K,274,48,0
13,1800,2,200,61,K,73,48,0
13,1870,3,400,73,M,89,48,0
11,2725,0,300,32,M,56,48,0
12,1700,0,300,31,M,1,48,0
13,1700,7,500,73,M,18,48,1891
13,1240,0,300,59,K,74,48,0
13,1900,8,500,57,M,154,48,0
13,1373,0,500,75,K,114,48,0
13,2000,1,'292,28',63,M,38,48,0
11,3300,1,400,45,M,241,48,0
11,'1077,49',2,'295,57',49,K,376,48,0
13,1094,0,400,68,K,188,48,0
11,1100,0,300,41,K,61,48,0
11,2500,2,'487,15',50,M,378,48,0
12,1100,4,200,27,K,19,30,0
13,1667,0,600,72,K,160,48,0
11,3000,2,500,46,K,97,48,0
11,2100,3,250,46,M,54,48,0
13,'1883,53',0,500,59,K,51,48,0
13,2474,0,600,63,M,19,48,0
13,5100,3,800,62,K,32,48,0
13,1300,1,'337,15',60,K,34,48,0
11,1170,0,300,57,M,71,48,0
11,'1261,98',0,'359,6',41,M,40,48,0
11,2800,0,600,50,K,322,48,0
11,'1331,21',7,600,33,K,23,48,0
12,1521,4,206,31,M,24,31,0
16,1362,0,600,54,K,33,48,0
16,1740,1,300,54,K,118,48,0
98,3000,4,'389,72',53,K,89,48,0
13,1900,4,400,76,K,125,48,0
11,'1888,27',2,'203,42',30,M,81,48,0
12,2000,0,300,38,K,93,48,0
13,'1090,14',7,'290,88',62,K,79,48,0
11,'2245,01',2,'455,59',45,K,149,48,0
13,3900,0,550,60,M,118,48,0
11,1700,7,500,52,K,310,48,0
99,1100,5,200,54,K,55,48,0
13,1425,0,400,61,K,83,48,0
11,1680,7,300,58,K,389,48,0
13,984,3,200,62,K,15,48,0
13,1400,1,300,66,K,122,48,0
13,1150,0,500,76,M,142,48,0
11,981,0,300,54,M,24,48,0
12,'1963,88',7,'378,53',45,M,10,21,1887
13,'1291,18',8,'308,63',71,K,83,48,0
13,850,7,400,67,K,71,48,0
13,865,8,200,71,K,132,48,0
13,860,0,200,75,M,121,48,1887
11,1400,2,'389,52',52,M,43,48,1887
13,'1162,41',2,'239,72',69,M,108,48,0
11,1058,3,'384,56',36,M,18,48,0
13,1374,1,300,62,K,50,48,0
11,1590,2,300,30,M,57,48,0
13,1500,2,'489,57',48,M,90,48,0
11,2100,7,500,61,M,191,48,1886
13,'744,07',1,200,62,K,16,48,0
13,'1801,41',3,'560,68',59,K,41,48,0
13,1014,2,300,64,K,187,48,0
13,1400,3,830,60,K,250,48,0
11,1300,0,200,54,M,456,48,0
12,'952,89',3,300,22,M,26,27,0
13,1200,7,500,71,K,123,48,0
13,1200,1,200,71,K,123,48,0
13,2547,2,600,81,M,198,48,0
11,2300,0,500,60,M,76,48,0
13,1668,8,'326,67',64,K,95,48,0
