@relation '212695L1 2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'rodzaj ?r�d?a dochodu' numeric
@attribute 'miesieczny dochod netto' string
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' string
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim b?dzie pobiera? doch�d' numeric
@attribute 'op�?nienie sp?aty' numeric

@data
11,'2249,14',0,500,57,K,241,48,0
13,1519,1,350,78,M,254,48,0
11,2080,0,500,53,M,318,48,0
17,1079,0,200,49,K,29,39,0
98,980,3,200,56,K,10,48,0
11,'1577,42',1,400,50,K,205,48,0
13,2066,4,700,61,K,129,48,0
13,580,4,800,56,K,119,48,2003
11,3200,4,600,51,K,54,48,0
12,670,4,300,45,M,9,12,0
11,1400,4,200,54,K,117,48,0
11,1300,4,200,39,M,45,48,0
98,1200,4,'284,19',38,K,46,48,0
11,900,4,300,46,K,94,48,0
16,634,3,200,58,K,52,48,0
13,1026,4,200,74,K,248,48,0
13,1658,4,296,59,K,30,48,0
13,'803,86',4,200,68,K,158,48,0
99,'2290,55',1,250,42,K,19,21,0
13,562,0,300,71,M,82,48,0
13,'1287,66',3,200,63,M,97,48,0
11,1300,0,400,53,K,35,48,0
11,1360,0,300,46,M,120,48,0
13,670,0,200,65,K,67,48,0
11,2050,0,'799,85',33,K,29,48,0
16,1411,1,400,60,K,67,48,0
12,'599,03',3,200,37,K,20,22,0
13,1233,3,300,63,K,124,48,0
13,3440,4,800,55,K,52,48,0
13,'1185,33',4,200,71,K,225,48,0
13,3040,0,'659,87',65,M,201,48,0
13,1500,0,400,60,K,61,48,0
12,'1032,34',4,200,31,K,5,12,0
13,1635,4,200,60,K,120,48,0
13,975,4,'218,32',61,K,28,48,0
11,2200,0,900,33,K,38,48,0
13,1977,2,700,61,K,55,48,0
13,960,4,'315,49',73,M,140,48,0
13,1162,4,200,62,M,221,48,0
16,2300,5,700,55,K,63,48,0
12,1500,1,800,35,M,34,36,0
11,'1888,27',0,'375,81',29,M,78,48,0
13,917,2,300,63,K,77,48,0
11,'1344,9',3,'216,24',45,K,46,48,0
